slno,address,assetId,assetName,amount
1,addr_test1vrxkun86q239q4es22zzgs3f3f7tqmaaq44qxlvdprz6njcyazjh0,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,85
2,addr_test1vrzfxcextsrqcuaer2xvzarxf9eydstwrg9hmvczzdjt97cclzews,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,80
3,addr_test1vqnys5jwexrak4llm73nczf7yvrwc29hlj3rfptpkfrdv7g7l6v8x,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,37
4,addr_test1vqs902uk0dskyx8krruy3l6uaz7hgy6xlpmsgyssmez9p8q2sslwt,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,30
5,addr_test1vz0u5r9hh8l59g7rdu0y6p03vt9dezm03zpha462plqw2cspf9flc,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,40
6,addr_test1vpp3s6sfe6q8lx6m3486hpvxje96scnljggzvskzp6kfuxqqvjqyl,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,67
7,addr_test1vqa693lhure9f6uk0wgc88zqfqg823jrdggdlwrxapzm8ng2f3z87,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,51
8,addr_test1vpkyts74cguk963zu8zlhuvggzxkty5ehvxtj24r7h8j3dg0c3h9e,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,66
9,addr_test1vprmfqhkk56la44degpsm3pe6tlefmm2uyqtnty73av90cczdfqer,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,50
10,addr_test1vppad0eu2cn8lsxsmrjdngc8s22lwe2khrxssad2vmmvetql2hzwq,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,94
11,addr_test1vpp4kua89vml6spmexptykcvkggz2ug7g7s9eq2lhxd9p8g6c3wm8,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,9
12,addr_test1vqkc2f8n33hksr5ewg0s92mjtajc0x4wqqed6p26wfmj53qqzghv0,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,55
13,addr_test1vzlkk3mcdktt9wecadmtfx7ylqyykdzwv3n4lwu7795m5ncw6yjnh,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,36
14,addr_test1vrhn0q939wx054njg28jcj7cya76ym4uzal359j6klul09qrtkn56,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,71
15,addr_test1vzh8wgc5qds47rak39x5acvtux7h2khn665dpx99wu268xqvczryu,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,93
16,addr_test1vqe243nm2qq534vmtjd0dv7pvwmjml2u8qz6nykepj02ghgdq4c0d,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,65
17,addr_test1vzqtx5cg6242zuzcr6zpws3w0u85hdj09k0azf58ycnhl0q6ew9qf,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,29
18,addr_test1vzuesxr963cywme5txqp0maxz04ru834ku4cc0yxumgrcmgnv65hf,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,79
19,addr_test1vzesez985ytzpqvxw7eq2ghf6f53gsh4025gh4m89wm550gq4d9dy,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,92
20,addr_test1vznl6p5tz2nhxzpzry4dt9hkfcmx68gaad5ezge9dy2kxeqa82qmf,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,67
21,addr_test1vqkfya92ze75aep9vvwflpfgcuuadll2ahhw0p3erer5tlqnhspqz,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,69
22,addr_test1vzsfmaltk583lusrdzyjtuny2vhp4sjtdfwqsx34xkqzxhq63dx9g,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,43
23,addr_test1vz7ae69xjw9edtkkn2y95dm3zujm0w6c67s8vg9y68d6nrgydvqme,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,9
24,addr_test1vzss0vdr8p6vkyf72gzxjj5s5yn59wxuwjmuu046vcznamsjr5c3l,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,45
25,addr_test1vqaksjrd2sjd7md9ljtmujlphzu083vyksnfagez5skuraqw546l2,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,75
26,addr_test1vqcre2zqk099eps06shztn9cdgc9g5g2seaff0gz0a4e9tqc3l93w,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,38
27,addr_test1vzv548ajsl6ncf3u4l6e3ujhvsm7dsthgj50m588x7hyeestrksyv,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,99
28,addr_test1vp7crzty8zf8lpxj5k74gjr5yfee35ygyah8a8aktx0zf5gm5ukae,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,25
29,addr_test1vp6z7847eyq06c08rk7m7zr582hpd25h8nypt659slufe7greyw4a,129ad21322dc33d4c9daa1002b0d92ca5d8da22d84977c7d7970165a,PapayaToken,55
30,addr_test1vqqfd859tx3hj23rqe4pndkccscyq75sv9rqzqd4wrg5fwqmhyyly,cf91095d40729f784dcfe0ab63480f53f5762ea233120de7ad7da0b8,MangoToken,11
